Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
E2nodeComponentConfigRemoval-List	SEQUENCE	E2nodeComponentConfigRemoval-List			ProtocolIESingleContainer				1	maxList
E2nodeTNLassociationRemoval-List	SEQUENCE	E2nodeTNLassociationRemoval-List			ProtocolIE-SingleContainer				1	maxList
E2nodeComponentConfigAdditionAck-List	SEQUENCE	E2nodeComponentConfigAdditionAck-List			ProtocolIESingleContainer				1	maxList
E2nodeComponentConfigUpdateAck-List	SEQUENCE	E2nodeComponentConfigUpdateAck-List			ProtocolIESingleContainer				1	maxList
E2nodeComponentConfigRemovalAck-List	SEQUENCE	E2nodeComponentConfigRemovalAck-List			ProtocolIESingleContainer				1	maxList
RANfunctions-List	SEQUENCE	RANfunctions-List			ProtocolIE-SingleContainer				1	maxList
RANfunctionsID-List	SEQUENCE	RANfunctionsID-List			ProtocolIESingleContainer				1	maxList
RANfunctionsIDcause-List	SEQUENCE	RANfunctionsIDcause-List			ProtocolIE-SingleContainer				1	maxList
CriticalityDiagnostics-IE-List	SEQUENCE	CriticalityDiagnostics-IE-List			CriticalityDiagnostics-IE-Item				1	maxList
InitiatingMessage	SEQUENCE	InitiatingMessage		procedureCode	E2AP-ELEMENTARY-PROCEDURE					
InitiatingMessage	SEQUENCE	InitiatingMessage		criticality	E2AP-ELEMENTARY-PROCEDURE					
InitiatingMessage	SEQUENCE	InitiatingMessage		value	E2AP-ELEMENTARY-PROCEDURE					
SuccessfulOutcome	SEQUENCE	SuccessfulOutcome		procedureCode	E2AP-ELEMENTARY-PROCEDURE					
SuccessfulOutcome	SEQUENCE	SuccessfulOutcome		criticality	E2AP-ELEMENTARY-PROCEDURE					
SuccessfulOutcome	SEQUENCE	SuccessfulOutcome		value	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		procedureCode	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		criticality	E2AP-ELEMENTARY-PROCEDURE					
